prediction_week,mean_abs_error,median_abs_error,projections
1.0,2.3977449467302865,2.3257959464480225,32
2.0,2.3905785468093086,2.379450082027862,32
3.0,2.353917192358227,2.1156142060009304,32
4.0,2.2626176696118026,1.7967674483577571,32
5.0,2.202216548469677,2.181869583395963,28
6.0,1.9152924700202447,1.8095172695646422,30
7.0,1.9803577928097884,1.8263220005948217,30
8.0,1.7193081351033217,1.603807752986342,26
9.0,1.9379783570928717,1.8697427564726556,28
10.0,1.662853396800486,1.5192068590413488,28
11.0,1.4476109487049542,1.246856741480498,30
12.0,1.4425169110773393,1.1911374737023483,28
13.0,1.2879038609499542,1.1814288375373918,32
14.0,1.3011854984736524,1.3965330631024262,28
15.0,1.008463543959824,0.8134377535331772,32
16.0,0.7877070749136585,0.6791042782589125,32
17.0,0.594572282024974,0.5951838665398785,32
18.0,0.44489206184199237,0.4700728782114556,32
